#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J092415.3+140742  11734  2747219201373530112  141.06421  14.128375  0.14019640  0.02940000  NO MATCH
2CXO J094739.8+072036  6842  1389371800739145728  146.91589  7.3437259  0.12870130  0.02000000  NO MATCH
2CXO J122847.2+135328  11784  1990670257882163200  187.19662  13.891073  0.15296960  0.02890000  111
2CXO J122442.1+125112  20540  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J121807.1+295611  16630  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J122442.1+125112  22144  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J150117.0+014958  12953  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J143217.7+343748  10456  1852157351897884672  218.07384  34.629969  0.37402710  0.01090000  39
2CXO J143300.5+343649  10456b  1852149655316490240  218.25225  34.613526  0.15136700  0.01070000  39
2CXO J113752.1+031613  14962  577733195504576512  174.46746  3.2704273  0.23518710  0.01850000  NO MATCH
2CXO J122442.1+125112  22164  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J112314.9+431208  22965  1536886134682970112  170.81206  43.202443  0.08044241  0.02670000  113
2CXO J110954.7+214121  6940  2805859186179598336  167.47796  21.689285  0.13515490  0.00925000  173
2CXO J122442.1+125112  20542  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J124942.2+303838  4978  2521004028263950336  192.42596  30.643861  0.19403560  0.01160000  110
2CXO J121807.1+295611  16629  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J122442.1+125112  22126  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J121807.1+295611  16632  2513071328441952256  184.52984  29.936433  0.15171910  0.01790000  NO MATCH
2CXO J122442.1+125112  22163  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J155207.7+200952  10244  2445543454193772544  238.03222  20.164616  0.29689910  0.03900000  73
2CXO J150117.0+014958  13247  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  91
2CXO J150117.0+014958  17019  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  NO MATCH
2CXO J122442.1+125112  22177  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J135317.7+332927  4867  2383626653969442816  208.32412  33.490851  0.00818652  0.01530000  548
2CXO J011522.1+001518  3204  782637086518831104  18.842442  0.25513768  0.39035030  0.02960000  384
2CXO J122959.5+133105  9527  1818454571626817536  187.49774  13.518277  0.09879434  0.02090000  NO MATCH
2CXO J122442.1+125112  22195  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J145432.2+184053  3193  3126786295670532096  223.63425  18.681441  0.05815794  0.02290000  NO MATCH
2CXO J122442.1+125112  22166  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  31
2CXO J132031.0+330608  6941  2356517365170071552  200.12963  33.102398  0.22907950  0.01380000  NO MATCH
2CXO J104429.3+113810  5929  1802684275493988352  161.12194  11.636486  0.22977630  0.02280000  86
2CXO J104429.3+113810  5930  1802684275493988352  161.12194  11.636486  0.22977630  0.02280000  NO MATCH
2CXO J122442.1+125112  20539  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J104429.3+113810  5931  1802684275493988352  161.12194  11.636486  0.22977630  0.02280000  NO MATCH
2CXO J111246.7+132401  4216  1972633868083161088  168.19481  13.400363  0.06876939  0.01740000  293
2CXO J090236.8+520349  11588  621626249491539968  135.65353  52.063553  0.09954778  0.01890000  287
2CXO J122442.1+125112  6131  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  49
2CXO J100713.2+124712  5606  1963731666753054720  151.80525  12.786994  0.24846660  0.03460000  81
2CXO J123614.7+163255  6100  2926247464023386112  189.06123  16.548793  0.06976387  0.01960000  NO MATCH
2CXO J102211.1+383149  6942  1606821670171994112  155.54623  38.530426  0.05661566  0.01460000  NO MATCH
2CXO J150117.0+014958  13255  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  89
2CXO J125412.0+273733  15023  2523226698233702400  193.55005  27.626096  0.08602050  0.00990000  297
2CXO J143544.1+350433  9435  1852241464537409536  218.93398  35.076151  0.02903509  0.00934000  297
2CXO J150117.0+014958  13246  606979655517366272  225.32127  1.8328286  0.12925260  0.04170000  240
2CXO J111703.5+174440  5836  2808098616420362240  169.26491  17.744716  0.09239659  0.01120000  NO MATCH
2CXO J100129.4+013633  15249  562968678572779520  150.37261  1.6093641  0.10439600  0.01880000  1001
2CXO J095814.9+021817  15217  563087150950672384  149.56234  2.3050674  0.12420490  0.01780000  NO MATCH
2CXO J095759.4+022810  15217b  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J122442.1+125112  5908  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J095814.9+021817  15216  563087150950672384  149.56234  2.3050674  0.12420490  0.01780000  NO MATCH
2CXO J095759.4+022810  15216b  563082752904161280  149.49774  2.4695767  0.11974470  0.01830000  NO MATCH
2CXO J095814.9+021817  15218  563087150950672384  149.56234  2.3050674  0.12420490  0.01780000  NO MATCH
2CXO J085331.8+232359  4979  2347544518288500736  133.38276  23.400009  0.30586980  0.03070000  NO MATCH
2CXO J111246.7+132401  9616  1972633868083161088  168.19481  13.400363  0.06876939  0.01740000  129
2CXO J095814.9+021817  15243  563087150950672384  149.56234  2.3050674  0.12420490  0.01780000  NO MATCH
